FNV	A32	DJB
979	976	1031
1019	986	998
1068	1036	1043
964	1091	1004
996	1000	1018
1007	1070	1032
950	957	1009
1060	1024	1015
973	1034	1005
1050	987	1009
992	957	1016
979	1056	1042
1003	1003	961
978	1048	1060
1018	1020	1015
992	977	990
1026	954	1000
997	1000	1005
1011	941	991
997	1030	988
953	1020	977
1034	1063	1021
971	1026	959
1027	1004	986
991	1013	973
974	1011	1028
970	994	989
962	933	962
999	1000	995
1017	998	999
1010	993	982
1068	1024	1030
981	936	981
1037	990	989
1016	970	971
952	979	1090
988	1012	1008
1003	978	1013
990	1030	992
978	1000	1047
1001	970	954
1007	964	976
998	1032	1020
1010	1063	969
1030	997	988
986	957	1033
1008	1037	1002
976	996	1026
1025	959	978
1021	975	988
1006	954	977
997	996	1007
1004	978	996
950	981	1030
997	980	1020
973	977	1042
958	1013	975
1016	1001	958
996	997	986
1091	1027	944
1039	1033	981
958	997	985
994	1062	1016
989	1012	974
994	991	1008
1027	953	931
1045	1016	984
1052	1006	1019
999	1006	1073
965	989	976
954	954	987
975	990	1073
1012	1038	988
1008	1009	983
982	1005	1062
1023	970	1033
1049	1005	942
1019	1002	992
992	1025	957
1000	994	1026
982	1025	1080
1001	1038	1013
955	997	929
970	1001	993
1010	964	986
958	971	1003
1008	982	989
982	962	957
1007	1047	986
1048	1019	996
931	961	1017
965	997	981
1012	979	1060
996	992	991
978	993	981
1031	1020	975
1015	1014	1023
1023	1000	970
994	974	999
1028	1032	988
